t_s,rms,cheer_2_8k
203.75,0.07027,0.0000728
204.00,0.05356,0.0000751
204.25,0.04874,0.0001288
204.50,0.04746,0.0000730
204.75,0.04480,0.0000797
205.00,0.05535,0.0000544
205.25,0.05744,0.0001071
205.50,0.05432,0.0000690
205.75,0.04743,0.0000637
206.00,0.04234,0.0001055
206.25,0.04864,0.0001496
206.50,0.05401,0.0001418
206.75,0.04320,0.0000521
207.00,0.02369,0.0000436
207.25,0.01844,0.0000722
207.50,0.02211,0.0000422
207.75,0.02672,0.0000405
208.00,0.02954,0.0000495
208.25,0.05483,0.0000674
208.50,0.06322,0.0000440
208.75,0.05332,0.0000475
209.00,0.05015,0.0001738
209.25,0.04951,0.0001550
209.50,0.05066,0.0001470
209.75,0.05246,0.0001601
210.00,0.05034,0.0001576
210.25,0.03779,0.0000875
210.50,0.02121,0.0000600
210.75,0.01258,0.0000399
211.00,0.00995,0.0000278
211.25,0.00968,0.0000350
211.50,0.02562,0.0000799
211.75,0.03091,0.0001057
212.00,0.02032,0.0000572
212.25,0.01183,0.0000380
212.50,0.02365,0.0000508
212.75,0.03844,0.0001865
213.00,0.03705,0.0001124
213.25,0.02223,0.0000682
213.50,0.01815,0.0000563
213.75,0.03061,0.0001103
214.00,0.03183,0.0001469
214.25,0.02207,0.0000777
214.50,0.02062,0.0000768
214.75,0.02185,0.0000782
215.00,0.02790,0.0000886
215.25,0.03633,0.0001081
215.50,0.05489,0.0002109
215.75,0.05984,0.0001690
216.00,0.05617,0.0002066
216.25,0.04974,0.0001636
216.50,0.03389,0.0001392
216.75,0.03333,0.0001466
217.00,0.03162,0.0001182
217.25,0.02601,0.0000996
217.50,0.02456,0.0000843
217.75,0.02466,0.0000778
218.00,0.03042,0.0000916
218.25,0.03150,0.0000811
218.50,0.02486,0.0000632
218.75,0.02070,0.0000714
219.00,0.02130,0.0000731
219.25,0.02352,0.0000770
219.50,0.02678,0.0000843
219.75,0.02794,0.0001061
220.00,0.02371,0.0000910
220.25,0.01880,0.0000841
220.50,0.01515,0.0000528
220.75,0.01190,0.0000517
221.00,0.01153,0.0000516
221.25,0.01120,0.0000423
221.50,0.01036,0.0000327
221.75,0.00929,0.0000301
222.00,0.00921,0.0000329
222.25,0.00900,0.0000273
222.50,0.00878,0.0000280
222.75,0.03582,0.0001015
223.00,0.04101,0.0001428
223.25,0.03340,0.0001388
223.50,0.03156,0.0001191
223.75,0.02123,0.0000758
224.00,0.01415,0.0000454
224.25,0.01250,0.0000431
224.50,0.01195,0.0000291
224.75,0.01104,0.0000294
225.00,0.01643,0.0000281
225.25,0.02232,0.0000356
225.50,0.02805,0.0000324
225.75,0.02810,0.0000470
226.00,0.03357,0.0000683
226.25,0.03405,0.0000859
226.50,0.02183,0.0000699
226.75,0.01660,0.0000536
227.00,0.01897,0.0000414
227.25,0.03706,0.0000847
227.50,0.03975,0.0000880
227.75,0.02389,0.0000538
228.00,0.02341,0.0000647
228.25,0.02534,0.0000805
228.50,0.02535,0.0000627
228.75,0.02460,0.0000587
229.00,0.02141,0.0000557
229.25,0.02307,0.0001222
229.50,0.02705,0.0001064
229.75,0.02582,0.0000966
230.00,0.02375,0.0000693
230.25,0.02826,0.0000777
230.50,0.02688,0.0000580
230.75,0.02699,0.0000672
231.00,0.03045,0.0001247
231.25,0.03416,0.0000764
