p1_name,p2_name,chem_logit_mean,chem_logit_sd
Ashlee Candelaria,Marcela Aguila Ampon,0.0093,0.048
Dalia Garza,Iulia Marcenco,-0.0028,0.0478
Zachary Grabovic,Evgeniy Kim,-0.0004,0.0486
Jace Morris,Wil Shaffer,0.0013,0.0517
Nathan Matthews,Mariano Yeh,0.0024,0.0512
Michael Erho,Andy Cusick,-0.0061,0.0521
Will Gardner,Rio Newcombe,0.0038,0.056
Jared Call,Jeffrey Moulton,-0.0002,0.0502
Jake Denstone,Daniel Schwartz,-0.0013,0.0477
Chas Howard,Benjamin Grant,0.003,0.0483
Brandon French,Judit Castillo,-0.0039,0.0507
Carolina Mayorga-Perry,Phillip Locklear,0.0047,0.05
Christa Gecheva,Augustus Ge,-0.0062,0.0517
Tony Larson,Manny Pasricha,0.0027,0.0502
Audrey Adele Brown,Tatiana Ruhl,-0.0166,0.0484
Angela Berry,Shea Donahue,0.0019,0.0554
Claudio Quinones Garcia,Juan Benitez,-0.0041,0.0462
Jalina Ingram,Kale Klein,-0.006,0.0509
Walter Lau,Angela Berry,-0.0051,0.0518
David Hall,Clayton Boydston,0.0151,0.0469
Nick Werner,Nolan Wolgamott,0.0018,0.0489
Thatcher Schwendiman,Bryce Larson,-0.01,0.0447
Lucah Folden,Clayton Powell,0.0025,0.0492
Camila Zilveti,Kasia Carr,0.0043,0.0514
Brenna Murray,Bryce Larson,0.0101,0.0479
Savanna Watts,Louis Wegner,-0.0062,0.0501
Cloe Murillo,Evgeniy Kim,0.0039,0.0509
Nebojsa Buha,Pally Ray,-0.0034,0.0435
Joshua Cooperman,Nicolas Gallego,0.0044,0.0491
Lauren Mercado,Casey Diamond,0.0077,0.0474
Caden Nemoff,Ivy Tschetter,-0.0019,0.0525
Court Zalinski,Jonny Pickleball Andrews,-0.008,0.0486
Maximo Agoglia,Adrian Garza,0.0002,0.0486
Mota Alhouni,Marcela Aguila Ampon,-0.0078,0.0513
Ashlee Candelaria,Rio Newcombe,0.0015,0.0499
Austin Oreilly,Kasia Carr,0.0012,0.0495
Cami Blake,Cloe Murillo,-0.0063,0.0478
Domenika Turkovic,Dionne Lim,0.0022,0.0505
Walter Lau,Mouaad Alhouni,-0.0046,0.0441
Genie Erokhina,Anderson Scarpa,-0.006,0.0454
Carolina Mayorga-Perry,Dana Raugust,-0.005,0.0519
Josh Jenkins,Erik Forsythe,-0.0067,0.053
Ryan Gilbert,Dionne Lim,0.017,0.051
Rob Hutchins,Daniel McAuley,0.0061,0.0513
Joseph Rotheram,Jeffrey Stone Jr.,-0.0002,0.0478
Matt Burkhardt,Mac Young,-0.0073,0.0495
Alexandre Gauthier,Cason Campbell,-0.0023,0.0481
Madeline Schulte,Sabrina Guillebeaux,0.0045,0.0504
Maddy Rasmusen,Benjamin Grant,-0.001,0.0471
Rob Cassidy,Pierina Imparato,-0.0085,0.0524
Ross Whittaker,Mari Humberg,0.0083,0.0481
Pally Ray,Auburn Smith,-0.0049,0.0485
Beau Martin,Jay Riding,-0.0075,0.053
Izaak Gonzalez,Stetson Owensby,-0.0014,0.051
Joey Nassos,Joey Lutostanski,-0.0067,0.0479
Joshua Reason,Shea Donahue,0.0011,0.052
Jordan Betts,Cambell Nakayama,0.0024,0.0491
Dominique Schaefer,Rachel Rettger,-0.0011,0.0478
Brenna Murray,Maddy Rasmusen,-0.0075,0.0491
Quang Duong,Lingwei Kong,-0.0031,0.0474
Erik Pailet,Drake Palm,0.005,0.0526
Marshall Brown,Donald Young,-0.0037,0.0484
Austin Oreilly,Ryan Sherry,0.0018,0.0486
Genie Bouchard,Gregory Dow,-0.0027,0.0489
Chuck Taylor,Mario Barrientos,0.0096,0.0481
