uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
e6be2540-8ee3-4cd7-90e4-f7a2b70851ec,Hao Nguyen,M,375,621,-0.1212,0.1082,-0.0398,0.0595,-0.013,0.0198,0.0328,0.2437,0.13,0.0151,296,353,-0.2695,0.3556
20045230-82bb-4962-99fe-cf78c28f8641,Joshua Giannelli,M,619,1189,0.1308,-0.1232,0.0176,0.0214,0.0075,0.0389,0.0314,0.2071,0.15,-0.029,298,415,0.0464,0.0104
ae103be7-01f5-4d0a-ad3e-ad524a4f6309,Seina Shima,F,210,402,-0.0282,-0.1035,-0.0622,-0.038,-0.1317,-0.1002,0.0314,0.2887,0.11,0.2993,297,79,0.1129,-0.0726
94478a4a-a920-4a12-936c-4dead2ecd1d6,Max Green,M,417,880,-0.0667,0.0315,0.0264,-0.0336,-0.0352,-0.0072,0.028,0.2159,0.13,-0.172,299,614,-0.0464,0.0197
9949cb55-32d2-4707-8da2-34af35bf6a37,Jesse Witten,M,152,311,-0.0122,-0.1373,-0.1128,-0.0094,-0.1495,-0.1222,0.0273,0.2988,0.09,0.2461,300,111,0.0,0.0478
e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M,1638,3381,-0.036,0.0313,0.0568,-0.0342,-0.0047,0.0226,0.0273,0.127,0.21,-0.0443,301,444,-0.215,0.1164
4565d8c4-de25-4391-bcf3-3e822ad7783d,Jai Grewal,M,251,480,-0.1638,-0.0358,-0.1092,-0.0639,-0.1995,-0.173,0.0265,0.268,0.1,0.1548,303,185,-0.2068,0.0595
bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,M,2527,5032,0.0446,-0.0949,0.1299,-0.1537,-0.0503,-0.0238,0.0265,0.1006,0.26,-0.0047,302,387,0.0527,-0.1691
158f965e-0732-4358-8f9c-ae78a48bdbdb,Arielle Butler,F,188,377,0.1561,-0.0635,0.1124,0.0066,0.0927,0.119,0.0263,0.2859,0.09,0.0471,304,311,0.0498,-0.1204
6ee6ec8b-17cd-44f0-ad2a-a3e3460100ce,Dave Bacalla,M,477,907,-0.0213,0.049,0.0451,0.0086,0.0277,0.0537,0.026,0.2227,0.12,0.0086,305,365,-0.286,0.1533
8620b5f6-d9d5-4cb9-9a28-ed21da77511e,Lauren Cole,F,153,335,0.0306,-0.004,0.0125,0.0391,0.0267,0.0516,0.025,0.2584,0.1,-0.2404,306,680,0.012,-0.0651
e41881d8-b1e1-465d-afcf-a58602cd92bd,Aidan Schenk,M,192,336,-0.0445,0.0958,0.0411,0.0351,0.0513,0.0762,0.0249,0.2541,0.1,-0.0817,307,498,-0.2038,0.2251
3f5b4c15-bf91-488f-bd3b-e4bb388f3728,Austin Oreilly,M,176,366,-0.0325,-0.1047,-0.0622,-0.0528,-0.1372,-0.1151,0.0221,0.35,0.06,0.5234,309,17,0.0,-0.0047
a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,M,3742,7451,0.0057,0.1006,0.0545,0.0739,0.1062,0.1284,0.0221,0.0824,0.27,-0.1947,308,641,-0.1082,-0.0269
e48f177b-ac64-42a5-9dfc-d5e0ac5b3fa6,Michael Wolf,M,197,393,-0.1843,0.1393,-0.0436,0.0203,-0.045,-0.0233,0.0217,0.3107,0.07,0.1339,310,204,-0.0934,0.0369
1d36eae4-41f1-4739-b9d2-0783fd371112,Samantha Buyckx,F,555,1083,-0.0854,0.1622,0.046,0.0523,0.0768,0.0983,0.0215,0.1821,0.12,-0.2037,311,648,-0.0357,0.0158
11124e87-7f5d-45fd-8282-728c39068a3c,Nick Black,M,1106,2111,-0.1101,0.0713,-0.0703,0.0526,-0.0388,-0.0177,0.0211,0.1597,0.13,-0.0245,312,408,-0.2354,0.1033
1bbc9415-96dd-4751-9513-95274c5fc0f9,Nicole Eugenio,F,624,1390,-0.0892,0.1556,0.089,-0.0025,0.0664,0.0865,0.0201,0.1793,0.11,-0.1698,313,610,-0.1015,-0.0369
