p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Kate Fahey,Tina Pisnik,womens,7,-0.118,0.472,0.41,5.1
Angie Walker,Alex Walker,womens,22,0.045,0.441,0.541,75.5
Zoeya Khan,Kiora Kunimoto,womens,3,-0.114,0.471,0.414,5.6
AJ Koller,Jonathan Truong,mens,6,0.023,0.456,0.51,67.8
Jace Morris,Wil Shaffer,mens,5,-0.03,0.473,0.484,38.5
Dylan Frazier,Lea Jansen,mixed,41,0.155,0.462,0.624,94.8
Zane Navratil,Blaine Hovenier,mens,7,0.209,0.493,0.649,97.4
Michael Loyd,Donald Young,mens,6,-0.089,0.453,0.431,10.9
Stephen Madonia,Connor Mogle,mens,9,0.044,0.469,0.534,75.4
Cailyn Campbell,Giovanna Morelli,womens,4,-0.045,0.487,0.48,29.7
Noe Khlif,Will Howells,mens,41,-0.171,0.441,0.35,1.5
Zane Ford,John Lucian Goins,mens,4,-0.055,0.467,0.449,24.0
Daniel Phillips,Chuck Taylor,mens,2,0.013,0.494,0.496,63.5
Armaan Bhatia,Yuta Funemizu,mens,7,0.096,0.465,0.577,88.0
Gabriel Joseph,Spartak Rahachou,mens,6,-0.037,0.444,0.464,33.8
Travis Rettenmaier,Braden Jacobson,mens,6,0.042,0.457,0.531,74.1
Edward Perez,Austin Bricker,mens,7,0.031,0.493,0.506,70.5
Gregory Dow,Anderson Scarpa,mens,28,-0.195,0.47,0.34,0.8
Andre Mercado,Tama Shimabukuro,mens,3,0.047,0.482,0.537,76.1
Angie Walker,James Delgado,mixed,7,-0.157,0.506,0.399,2.0
Mohaned Alhouni,Genie Erokhina,mixed,10,-0.123,0.453,0.411,4.7
Anna Leigh Waters,Anna Bright,womens,98,-0.126,0.445,0.389,4.3
Cason Campbell,Adam Harvey,mens,37,0.042,0.45,0.53,74.1
Grayson Goldin,Christopher Haworth,mens,5,0.05,0.464,0.533,77.2
Mohaned Alhouni,Mota Alhouni,mens,3,-0.031,0.452,0.469,38.2
Ross Whittaker,Ivan Jakovljevic,mens,21,0.078,0.43,0.567,84.5
Jack Sock,Pablo Tellez,mens,33,0.211,0.444,0.674,97.5
Roscoe Bellamy,Darrian Young,mens,7,-0.032,0.465,0.479,37.2
Nicole Conard,Isabella Dunlap,womens,29,0.121,0.429,0.591,91.9
Yates Johnson,Marshall Brown,mens,2,-0.025,0.494,0.469,42.0
Christopher Crouch,Anouar Braham,mens,4,-0.031,0.486,0.464,37.8
Andrew Caldarella,John Cincola,mens,2,-0.024,0.493,0.49,42.9
Christian Alshon,Hayden Patriquin,mens,95,-0.202,0.443,0.328,0.6
JW Johnson,CJ Klinger,mens,88,0.234,0.449,0.694,98.1
Craig Johnson,Luke Wasson,mens,2,-0.047,0.472,0.462,28.8
Pesa Teoni,Luc Pham,mens,4,-0.026,0.461,0.476,41.9
Eric Roddy,James Delgado,mens,2,-0.067,0.492,0.46,18.1
Caden Nemoff,Wesley Burrows,mens,2,0.024,0.493,0.519,68.3
Jade Kawamoto,Jackie Kawamoto,womens,29,0.197,0.455,0.653,97.1
Andrei Daescu,Lacy Schneemann,mixed,7,-0.009,0.494,0.479,51.7
