p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Gabriel Tardio,Hayden Patriquin,mens,12,0.047,0.405,0.534,83.4
Anna Leigh Waters,Noe Khlif,mixed,11,0.074,0.431,0.55,91.9
Abbigal Hatton,Wyatt Stone,mixed,1,-0.004,0.389,0.485,50.8
Federico Staksrud,Will Howells,mens,11,0.041,0.391,0.534,80.8
Darrian Young,Wyatt Stone,mens,1,-0.008,0.422,0.501,46.9
Kate Fahey,Gabriel Tardio,mixed,10,0.066,0.409,0.545,89.8
Anna Bright,Hayden Patriquin,mixed,14,0.096,0.438,0.584,96.1
Dekel Bar,Tina Pisnik,mixed,10,0.084,0.416,0.571,94.2
Brandon French,Darrian Young,mens,1,-0.062,0.42,0.451,7.0
Abbigal Hatton,Brandon French,mixed,1,-0.055,0.43,0.469,9.4
Kate Fahey,Anna Bright,womens,12,0.117,0.429,0.599,98.5
Zoey Weil,Dylan Frazier,mixed,3,-0.112,0.416,0.406,0.5
Noe Khlif,Federico Staksrud,mens,1,-0.052,0.408,0.454,11.1
Brandon French,Wyatt Stone,mens,3,0.022,0.434,0.532,70.8
Sahra Dennehy,Pablo Tellez,mixed,3,0.004,0.387,0.501,57.8
Nicole Conard,Brandon French,mixed,3,-0.016,0.42,0.484,40.8
Aiko Yoshitomi,Nicole Conard,womens,1,-0.04,0.428,0.476,19.6
Juan Varon,Miles Hoover,mens,6,-0.011,0.406,0.486,44.8
Sam Weinbach,Luke Wasson,mens,4,0.043,0.418,0.52,81.7
Mohaned Alhouni,Jackson Ayotte,mens,10,0.052,0.407,0.529,85.6
Sydney Sonday,Kelly Goodnow,womens,4,0.019,0.421,0.507,68.8
Circa Luna S,Mila Messinger,womens,5,-0.026,0.401,0.474,31.1
Kaitlin Tran,Courtenay Leonard,womens,4,0.029,0.388,0.539,75.9
Alexandra Strange,Cassandra Fryberger,womens,2,-0.04,0.423,0.47,19.0
