p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Nicole Eugenio,Camila Garcia Wright,womens,2,-0.033,0.381,0.462,33.3
Kate Fahey,Carolina Mayorga-Perry,womens,4,0.012,0.365,0.518,62.5
Lucy Kovalova,Jackie Kawamoto,womens,33,-0.016,0.363,0.465,44.2
Samantha Parker,Tatiana Ruhl,womens,2,-0.038,0.41,0.472,29.5
Genie Bouchard,Dominique Schaefer,womens,4,-0.075,0.4,0.439,10.3
Rafa Hewett,Patrick Kawka,mens,13,-0.014,0.372,0.496,45.9
Kailas Shekar,Santhosh Narayanan,mens,3,-0.019,0.388,0.487,41.7
Erik Pailet,Todd Fought,mens,7,0.001,0.39,0.49,55.4
Darrian Young,Hayden Patriquin,mens,7,-0.0,0.383,0.496,54.9
Patrick Smith,Connor Garnett,mens,6,0.076,0.394,0.581,88.7
Lingwei Kong,Camila Zilveti,womens,2,0.034,0.4,0.536,73.5
Madeline Schulte,Pierina Imparato,womens,2,0.036,0.433,0.529,74.7
Dustin Boyer,Miguel Alda,mens,2,-0.002,0.391,0.504,53.8
Andrea Koop,Jade Kawamoto,womens,36,0.185,0.381,0.675,98.5
Rianna Valdes,Jessie Irvine,womens,4,0.05,0.426,0.535,80.0
Claudio Quinones Garcia,Matthew Mead,mens,2,0.012,0.398,0.529,62.6
Julian Arnold,Tyler Loong,mens,9,-0.124,0.376,0.386,2.1
Travis Rettenmaier,Augustus Ge,mens,12,-0.079,0.384,0.424,8.6
James Broker,Max Green,mens,13,-0.036,0.383,0.481,31.5
Maximilian Wild,Brett Finan,mens,4,-0.044,0.406,0.469,25.6
Collin Johns,Alix Truong,mixed,11,0.062,0.365,0.557,84.1
Ryan Gilbert,Hailee Haymore,mixed,2,0.008,0.394,0.501,60.2
Kaitlyn Christian,Martin Emmrich,mixed,29,0.284,0.421,0.753,99.5
Craig Johnson,Alex Walker,mixed,5,-0.051,0.388,0.466,20.6
Michelle Esquivel,Steve Deakin,mixed,2,-0.124,0.392,0.396,2.2
Eric Roddy,Genie Bouchard,mixed,6,0.046,0.408,0.53,78.4
